title,genre,release_year,duration,description
"Bird Box","Drama, Horror, Thriller",2018,124,"A mother and her two children must make it through a post-apocalyptic world blindfolded to avoid supernatural entities that cause people who look at them to go insane and commit suicide."
"The Irishman","Crime, Drama",2019,209,"An aging hitman recalls his possible involvement with the slaying of Jimmy Hoffa."
"Stranger Things","Drama, Fantasy, Horror",2016,50,"When a young boy disappears, his mother, a police chief, and his friends must confront terrifying supernatural forces in order to get him back."
"Money Heist","Action, Crime, Thriller",2017,70,"To carry out the biggest heist in history, a criminal mastermind recruits a band of eight robbers who have a single characteristic: they are all the best at what they do."
"Breaking Bad","Crime, Drama, Thriller",2008,47,"A high school chemistry teacher turned methamphetamine manufacturer faces moral dilemmas and dangerous adversaries."
"Black Mirror","Drama, Sci-Fi, Thriller",2011,60,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide."
"The Crown","Drama, History",2016,58,"Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century."
"Narcos","Biography, Crime, Drama",2015,49,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar."
"The Witcher","Action, Adventure, Drama",2019,60,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts."
"Dark","Crime, Drama, Mystery",2017,53,"A family saga with a supernatural twist, set in a German town, where the disappearance of two young children exposes the relationships among four families."
"Ozark","Crime, Drama, Thriller",2017,60,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss."
"BoJack Horseman","Animation, Comedy, Drama",2014,25,"BoJack Horseman, a washed-up TV star, struggles with addiction, self-loathing, and relationships."
"House of Cards","Drama",2013,51,"A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him."
"The Queen's Gambit","Drama",2020,60,"Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess."
"13 Reasons Why","Drama, Mystery, Thriller",2017,60,"Follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life."
"The Umbrella Academy","Action, Adventure, Comedy",2019,60,"A family of former child heroes, now grown apart, must reunite to continue to protect the world."
"La La Land","Comedy, Drama, Music",2016,128,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
"Knives Out","Comedy, Crime, Drama",2019,130,"A detective investigates the death of a patriarch of an eccentric, combative family."
"Mad Max: Fury Road","Action, Adventure, Sci-Fi",2015,120,"In a post-apocalyptic wasteland, Max teams up with a mysterious woman to flee from a cult leader and his army."
"Coco","Animation, Adventure, Family",2017,105,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather."
"The Social Network","Biography, Drama",2010,120,"The story of the founders of the social-networking website, Facebook."
"Gravity","Drama, Sci-Fi, Thriller",2013,91,"Two astronauts work together to survive after an accident leaves them stranded in space."
"The Grand Budapest Hotel","Adventure, Comedy, Crime",2014,99,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy."
"Her","Drama, Romance, Sci-Fi",2013,126,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need."
"The Revenant","Action, Adventure, Drama",2015,156,"A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by his own hunting team."
"Inside Out","Animation, Adventure, Comedy",2015,95,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions—Joy, Fear, Anger, Disgust and Sadness—conflict on how best to navigate a new city, house, and school."
"Inception","Action, Sci-Fi, Thriller",2010,148,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO."
"Parasite","Comedy, Drama, Thriller",2019,132,"Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan."
"Interstellar","Adventure, Drama, Sci-Fi",2014,169,"A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival."
"The Godfather","Crime, Drama",1972,175,"The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son."
